Species,Temperature,Growth Rate,Study,food,volume,volume reported?,Log Volume
,23,2.348382648,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.187153176,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.107926453,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.304367802,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.118396413,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.923067538,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.958140785,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.17093697,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.365919271,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.059894791,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.116039713,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.894232615,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.553342832,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.180918289,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.051161137,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.977964794,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.220289049,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.251342042,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.319059085,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.559303897,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.304367802,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.082491389,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.073896364,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.940812106,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.211139506,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.277473691,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.059894791,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,2.071955552,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.725104703,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
Euplotes vannus,23,1.872745052,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.987530226,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.663761177,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.529498569,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.122898433,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.392255427,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.65939435,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.607200368,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.558957324,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.42580375,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.414020248,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.380749184,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.825333785,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.90164929,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.742364068,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.59430783,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.476403495,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
,23,1.564849075,,Dunaliella tertiolecta,33000,Protist Info Server,4.51851394
Euplotes minuta,23,2.098572404,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,2.131219636,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.881478707,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.91766099,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.727600033,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.213839343,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.726283053,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.968884566,,Chlorella sp.,19000,Protist Info Server,4.278753601
,23,1.827205283,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.862417159,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.621964403,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.498861463,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.634718311,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.103490311,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.726283053,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.761633559,,Dunaliella salina,19000,Protist Info Server,4.278753601
,23,1.899569848,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,1.900817513,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,2.162619203,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,1.983787231,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,1.5046839,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,1.186252085,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,1.685664628,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
,23,1.658008056,,Dunaliella tertiolecta,19000,Protist Info Server,4.278753601
Urotricha farcta,9,0.79,Weisse et al (2002),Cryptomonas sp.,"4,460",Y,3.649334859
,12,1.2,,,"6,380",Y,3.804820679
,15,1.3,,,"3,860",Y,3.586587305
,18,1.8,,,"2,190",Y,3.340444115
,21,3.9,,,"4,050",Y,3.607455023
,24,3.7,,,"2,650",Y,3.423245874
Urotricha furcata,10,0.19,Weisse and Montagnes (1998),Cryptomonas sp.,"21,000",Y,4.322219295
,10,0.25,,,"21,000",Y,4.322219295
,15,0.58,,,"14,000",Y,4.146128036
,15,0.77,,,"14,000",Y,4.146128036
,15,0.8,,,"14,000",Y,4.146128036
,20,1,,,"11,000",Y,4.041392685
,25,0.9,,,"11,000",Y,4.041392685
,25,0.97,,,"11,000",Y,4.041392685
,25,1,,,"11,000",Y,4.041392685
,10,0.35,,,"21,000",Y,4.322219295
,10,0.43,,,"21,000",Y,4.322219295
,15,0.68,,,"17,500",Y,4.243038049
,15,0.84,,,"17,500",Y,4.243038049
,25,0.85,,,"11,000",Y,4.041392685
,25,0.95,,,"11,000",Y,4.041392685
,10,0.4,,,"10,500",Y,4.021189299
,10,0.49,,,"10,500",Y,4.021189299
,15,0.42,,,"9,500",Y,3.977723605
,15,0.51,,,"9,500",Y,3.977723605
,20,0.8,,,"9,500",Y,3.977723605
,25,0.91,,,"8,000",Y,3.903089987
,5,0.14,,,"20,000",Y,4.301029996
,10,0.25,,,"21,000",Y,4.322219295
,10,0.45,,,"21,000",Y,4.322219295
,10,0.54,,,"21,000",Y,4.322219295
,15,0.67,,,"19,000",Y,4.278753601
,15,0.77,,,"19,000",Y,4.278753601
,20,0.85,,,"19,000",Y,4.278753601
,20,1,,,"19,000",Y,4.278753601
,20,1.1,,,"19,000",Y,4.278753601
,25,1.3,,,"11,000",Y,4.041392685
,25,1.2,,,"11,000",Y,4.041392685
Urotricha farcta,5,0.065,,Cryptomonas sp.,"33,000",Y,4.51851394
,5,0.15,,,"33,000",Y,4.51851394
,10,0.67,,,"25,000",Y,4.397940009
,10,0.72,,,"25,000",Y,4.397940009
,15,1.4,,,"24,000",Y,4.380211242
,20,1.6,,,"16,000",Y,4.204119983
,25,1.8,,,"17,500",Y,4.243038049
,25,1.9,,,"17,500",Y,4.243038049
,30,1.7,,,"18,500",Y,4.267171728
,30,1.8,,,"18,500",Y,4.267171728
Urotricha furcata,10,0.39,,Cryptomonas sp.,"19,000",Y,4.278753601
,10,0.45,,,"19,000",Y,4.278753601
,15,0.89,,,"13,500",Y,4.130333768
,20,1,,,"11,500",Y,4.06069784
,25,1.1,,,"11,000",Y,4.041392685
,25,1.2,,,"11,000",Y,4.041392685
,25,1.3,,,"11,000",Y,4.041392685
Urotricha furcata,12.5,0.715,Weisse and Frahm (2002),Cryptomonas sp.,2000,Y* (didn't actually measure),3.301029996
,12.5,0.656,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.485,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.319,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.595,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.655,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.525,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.631,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.895,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.555,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.48,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.509,,Cryptomonas sp.,2000,Y*,3.301029996
,12.5,0.852,,Cryptomonas sp.,2000,Y*,3.301029996
Balanion planctonicum,12.5,0.959,,Cryptomonas sp.,1820,Y*,3.260071388
,12.5,0.601,,Cryptomonas sp.,1820,Y*,3.260071388
,12.5,1.031,,Cryptomonas sp.,1820,Y*,3.260071388
,12.5,0.658,,Cryptomonas sp.,1820,Y*,3.260071388
,12.5,0.995,,Cryptomonas sp.,1820,Y*,3.260071388
Pfiesteria piscicida,23,0.78,Gransden and Lewitus (2003),Storeatula major,250,"Marshall website, ODU",2.397940009
Cryptoperidiniopsis,23,0.22,,Storeatula major,250,N,2.397940009
Euplotes vannus,23,0.31,,Storeatula major,260000,Protist Info Server,5.414973348
,23,0.3,,Pfiesteria piscicida+Storeatula major,260000,Protist Info Server,5.414973348
,23,0.67,,Cyptoperidiniopsis sp+Storeatula major,260000,Protist Info Server,5.414973348
Euplotes woodruffii,23,0.86,,Storeatula major,260000,Protist Info Server,5.414973348
,23,0.59,,Pfiesteria piscicida+Storeatula major,260000,Protist Info Server,5.414973348
,23,0.66,,Cyptoperidiniopsis sp+Storeatula major,260000,Protist Info Server,5.414973348
Rimostrombidium veniliae,15,1.05,Pedersen and Hansen (2003),Heterocapsa triquetra,42000,Plankton Database,4.62324929
,15,1.06,,Heterocapsa triquetra,42000,Plankton Database,4.62324929
,15,0.92,,Heterocapsa triquetra,42000,Plankton Database,4.62324929
,15,0.75,,Heterocapsa triquetra,42000,Plankton Database,4.62324929
,15,0.19,,Heterocapsa triquetra,42000,Plankton Database,4.62324929
Rimostrombidium caudatum,15,0.43,,Rhodomonas salina,42000,Plankton Database,4.62324929
,15,0.61,,Rhodomonas salina,42000,Plankton Database,4.62324929
,15,0.41,,Rhodomonas salina,42000,Plankton Database,4.62324929
,15,0.51,,Rhodomonas salina,42000,Plankton Database,4.62324929
Balanion comatum,15,2.39,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.48,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.48,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.54,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.54,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.63,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.2,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.11,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,2.03,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,1.83,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
,15,1.74,,Rhodomonas salina,2300,(Jakobsen and Hansen (1997),3.361727836
Favella ehrenbergii,15,0.52,,Heterocapsa triquetra,102000,"(Strom and Morello, 1998)",5.008600172
,15,0.35,,Heterocapsa triquetra,102000,"(Strom and Morello, 1998)",5.008600172
,15,0.52,,Heterocapsa triquetra,102000,"(Strom and Morello, 1998)",5.008600172
Gyrodinium dominans,15,0.99,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.83,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,1.1,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.89,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.89,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.82,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.84,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.37,,Rhodomonas salina,26000,Protist Info Server,4.414973348
,15,0.29,,Rhodomonas salina,26000,Protist Info Server,4.414973348
Oxyrrhis marina,15,0.65,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.76,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.81,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.87,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.74,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.87,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.77,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.87,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.87,,Rhodomonas salina,1400,Protist Info Server,3.146128036
,15,0.87,,Rhodomonas salina,1400,Protist Info Server,3.146128036
Euplotes sp.,20,0.069,Buskey and Hyatt (1995),Isochrysis galbana,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.21,Buskey and Hyatt (1995),Isochrysis galbana,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.39,Buskey and Hyatt (1995),Isochrysis galbana,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.41,Buskey and Hyatt (1995),Isochrysis galbana,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.45,Buskey and Hyatt (1995),Isochrysis galbana,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.48,Buskey and Hyatt (1995),Isochrysis galbana,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.091,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.19,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.28,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.5,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.35,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.27,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Euplotes sp.,20,0.29,Buskey and Hyatt (1995),Aureoumbra lagunensis,260000,Protist Info Server,5.414973348
Fabrea salina,20,0.26,Buskey and Hyatt (1995),Aureoumbra lagunensis,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.39,Buskey and Hyatt (1995),Aureoumbra lagunensis,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.52,Buskey and Hyatt (1995),Aureoumbra lagunensis,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.51,Buskey and Hyatt (1995),Aureoumbra lagunensis,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.24,Buskey and Hyatt (1995),Aureoumbra lagunensis,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.26,Buskey and Hyatt (1995),Isochrysis galbana,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.43,Buskey and Hyatt (1995),Isochrysis galbana,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.54,Buskey and Hyatt (1995),Isochrysis galbana,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.61,Buskey and Hyatt (1995),Isochrysis galbana,1020000,"""Fabrea salina group"" -- www",6.008600172
Fabrea salina,20,0.71,Buskey and Hyatt (1995),Isochrysis galbana,1020000,"""Fabrea salina group"" -- www",6.008600172
Oxyrrhis marina,20,0.05,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.226,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.45,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.66,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.62,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.73,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.59,Buskey and Hyatt (1995),Isochrysis galbana,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.12,Buskey and Hyatt (1995),Aureoumbra lagunensis,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.2,Buskey and Hyatt (1995),Aureoumbra lagunensis,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.24,Buskey and Hyatt (1995),Aureoumbra lagunensis,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.36,Buskey and Hyatt (1995),Aureoumbra lagunensis,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.42,Buskey and Hyatt (1995),Aureoumbra lagunensis,1400,Protist Info Server,3.146128036
Oxyrrhis marina,20,0.54,Buskey and Hyatt (1995),Aureoumbra lagunensis,1400,Protist Info Server,3.146128036
Strombidinopsis sp.,20,0.59,Buskey and Hyatt (1995),Pyrenomonas salina,140000,"(Strom and Morello, 1998)",5.146128036
Strombidinopsis sp.,20,0.66,Buskey and Hyatt (1995),Pyrenomonas salina,140000,"(Strom and Morello, 1998)",5.146128036
Strombidinopsis sp.,20,0.95,Buskey and Hyatt (1995),Pyrenomonas salina,140000,"(Strom and Morello, 1998)",5.146128036
Strombidinopsis sp.,20,0.88,Buskey and Hyatt (1995),Pyrenomonas salina,140000,"(Strom and Morello, 1998)",5.146128036
Euplotes vannus,22,0.912,Capriulo et al (1988),Skeletonema costatum,260000,Protist Info Server,5.414973348
Euplotes vannus,22,0.816,Capriulo et al (1988),Skeletonema costatum,260000,Protist Info Server,5.414973348
Euplotes vannus,22,0.456,Capriulo et al (1988),Skeletonema costatum,260000,Protist Info Server,5.414973348
Euplotes vannus,22,0.1728,Capriulo et al (1988),Skeletonema costatum,260000,Protist Info Server,5.414973348
